Link,Abstract,Led-By,Co-Led-By
https://www.khoury.northeastern.edu/research_projects/career-rethinking-mobile-security-in-the-new-age-of-app-as-a-platform/,"An ongoing evolution in the design of mobile applications (apps) and services, called “app-as-a-platform”, is posing fundamental challenges to mobile security and privacy, exposing consumers, enterprises, and governments to new threats. Existing security technologies were not designed to address apps’ emerging role as micro-platforms and are, therefore, incapable of providing sufficient protections. This research project is developing security foundations in three dimensions of app-as-a-platform architectures: (1) In-app Dimension, where modules within the same app can adversely affect or manipulate one another, (2) App-cloud Dimension, where apps may spy on or abuse integrated cloud services, and vice versa, and (3) App-IoT Dimension, where unauthorized apps can manipulate IoT (Internet-of-Things)-connected devices.",Long Lu,Long Lu
https://www.khoury.northeastern.edu/research_projects/responsible-computer-science-challenge/,"Today, computer scientists wield tremendous power, but when that power isn't coupled with responsibility, the results can have unintended consequences, negatively impacting users’ privacy, security, or wellbeing. The Responsible Computer Science Challenge aims to educate a new wave of engineers who bring holistic thinking to the design of technology products by supporting the integration of ethics with undergraduate computer science training. The Challenge awarded $3.5 million in prizes to promising approaches to embedding ethics into undergraduate computer science education, empowering graduating engineers to drive a culture shift in the tech industry and build a healthier internet.",The provided text does not specify the name of the professor leading the research.,Omidyar
https://www.khoury.northeastern.edu/research_projects/af-small-research-in-complexity-theory/,"Computational inefficiency is a common experience: the computer cannot complete a certain task due to lack of resources such as time, memory, or bandwidth. The theory of computational complexity classifies — or aims to classify — computational tasks according to their inherent inefficiency. Inefficiency can also be harnessed to our advantage. Indeed, modern cryptography and electronic commerce rely on the (presumed) inefficiency of certain computational tasks. From the study of computational complexity there have arisen questions that stand as grand challenges of contemporary science. The objective of this project is to enrich the theory of computational complexity with new directions and techniques, and to use these techniques to make progress on long-standing open problems. Specific areas of investigation include the complexity of sampling tasks and of distributed tasks, and randomness. The investigator has a track record of fruitful exchanges with the mathematics community and will foster further cross-fertilization between mathematics and computer science. The project will develop publicly-available educational material, including lecture notes, surveys, slides, and videos, both at the advanced and at the introductory level.",Emanuele Viola,Emanuele Viola
https://www.khoury.northeastern.edu/research_projects/tools-to-help-digital-workers-earn-more-and-create-fairer-workspaces/,"Gig markets rely on reviews to help customers or employers identify the workers they want to hire. However, gig markets have been plagued with unfair assessments containing inaccurate reputation signals about workers which can not only limit workers’ future job opportunities, but can also result in workers not getting paid or even being terminated from the marketplace. Unfair reviews are generally created because employers have a hard time differentiating the factors within the workers’ control and the ones that have little to do with their performance (e.g., when they complain about an Uber driver getting stuck in traffic). However, because market power is typically placed in the hands of employers, a bad worker review can result in the worker losing her entire livelihood.
To address this problem, we present Reputation Agent, a review validation system that helps employers to generate fair reviews. Reputation Agent implements an intelligent interface that: (1) uses deep learning to automatically detect when an individual has included unfair factors into her review (factors that are outside the control of the gig worker, according to the policies of the market); and (2) prompts the individual to reconsider her review if she has incorporated unfair factors. Reputation Agent, in contrast with traditional approaches, motivates customers and employers to review gig workers’ performance more fairly. We discuss how tools that bring more transparency to employers about the policies of a gig market can help build empathy, spark discussions around the established gig market rules, and could be used to help platform maintainers identify potential injustices towards workers generated by their interfaces. Our vision is that with truth and transparency we can bring fairer treatment of gig workers.",Saiph Savage,Angela Richmond
https://www.khoury.northeastern.edu/research_projects/recon-revealing-and-controlling-privacy-leaks-in-mobile-network-traffic/,"This project focuses on the auditing and control of personally identifiable information leaks, addressing the key challenges of how to identify and control personal identifying information (PII) leaks when users’ PII is not known a priori, nor is the set of apps or devices that leak this information. To enable auditing through improved transparency, we are investigating how to use machine learning to reliably identify PII from network flows, and identify algorithms that incorporate user feedback to adapt to the changing landscape of privacy leaks. We are also investigating the extent to which our approach extends to privacy leaks from IoT devices. Besides adapting our system to the unique format for leaks across a variety of IoT devices, our work investigates PII exposed indirectly through time-series data produced by IoT-generated monitoring. Using results from those investigations, we are building tools that allow users to control how their information is (or not) shared with other parties. Our tool ReCon analyzes your network traffic to tell if personal information is being transmitted, without needing to know a user’s personal information to work. It detects device/user identifiers used in tracking, geolocation leaks, unsafe password transmissions, and personal information such as name, address, gender, and relationship status. This information is made available to the user via a private Web page, and allows them to tell us if we found important leaks, and whether we should block or modify the leaks.",David Choffnes,Arnaud Legout
https://www.khoury.northeastern.edu/research_projects/rearm-protecting-arm-binaries-via-load-time-reduction-and-run-time-read-protection/,,Long Lu,Long Lu
https://www.khoury.northeastern.edu/research_projects/cps-quantitative-visual-sensing-of-dynamic-behaviors-for-home-based-progressive-rehabilitation/,"The aim of this project is to develop a comprehensive cyber-physical framework by combining computer vision and robotics to enable intelligent human-environment interaction. We focus on individualized remote rehabilitation using an intelligent, adjustable lower limb orthotic brace to manage knee osteoarthritis. We use computer vision to track and record patient-device interactions, abstract them into parametric and composable manifold representations, and link them to quantitative biomechanical assessments of the patients. This helps us develop personalized user models and exercise regimens, and progressively refine exercises and brace adjustments. Our approach enables us to understand human neuro-musculo-skeletal and locomotion principles by integrating quantitative data acquisition, lower-order modeling, and individualized feedback. This will lead to fundamental insights into the generative hypotheses of human actions, as our quantitative visual models capture underlying physical, physiological, and behavioral mechanisms based on biomechanical assessments. This research has the potential to improve mobility and reduce pain in patients with knee osteoarthritis, and the home-based rehabilitation setting offers flexibility and accessibility to a larger patient population.",Yun Raymond Fu,Yun Raymond Fu
https://www.khoury.northeastern.edu/research_projects/nsf-satc-frontier-properdata/,"This project seeks to protect personal information by improving the transparency and control of data flow on the Internet, using a multidisciplinary approach that combines methodologies from computer science (theory, network measurement, security) with policy and economics, and crosses multiple application domains (web, mobile, and Internet-of-Things). Conceptual frameworks are developed for personal information flow on the Internet, as well as systems for monitoring and mediation. Existing systems are improved for measuring the tracking and discrimination of personal information, and for explicitly controlling privacy-utility tradeoffs. To provide long-term privacy-by-design alternatives, the project pursues verifiable IoT architectures seeking to decentralize the advertising ecosystem and eliminate intermediaries. The project likewise leverages technology to inform policy specification and to provide tools to audit and enforce policies. The broader impacts of the project include: (1) informing policymakers, nonprofit advocates, and industry players through interactions with relevant stakeholders; (2) training next-generation graduate and undergraduate students jointly in technology and policy; and (3) broadening participation of women, underrepresented minorities, and community college students.",David Choffnes,Alan Mislove
https://www.khoury.northeastern.edu/research_projects/csr-small-privacy-and-security-for-mapreduce-clouds-with-pasmac/,"Despite the hype, only a few large enterprises or governmental organizations outsource their services to public clouds. On the one hand, cloud computing has been identified as one of the top ten business strategies as it offers many advantages such as greater flexibility and reduced costs. However, on the other hand, outsourcing and, therewith, relinquishing control of services implies many security and privacy problems. Cloud providers often place their data centers in foreign countries where security policies are difficult to enforce, cloud infrastructures are threatened by hackers, insiders, and even malicious customers trying to peek into or tamper with outsourced data. Consequently, the cloud cannot be trusted. As of today, lack of security and privacy guarantees are major adoption obstacles for both, large enterprises and governmental organizations.
PASMAC targets the design and evaluation of protocols for secure and privacy- preserving “data analysis” in an untrusted cloud. With PASMAC, the user can store and query data in the cloud, preserving privacy and integrity of outsourced data and queries. PASMAC specifically addresses a real-world cloud framework: Google’s prominent MapReduce paradigm. PASMAC will design and prototype new protocols based on highly parallelizable, efficient privacy-preserving techniques, such as efficient private information retrieval, encrypted Bloom filters, and additive homomorphic encryption.",Guevara Noubir,Erik-Oliver Blass
https://www.khoury.northeastern.edu/research_projects/principled-compiling-and-linking-for-multi-language-software/,"When building large software systems, programmers should be able to use the best language for each part of the system. But when a component written in one language becomes part of a multi-language system, it may interoperate with components that have features that don’t exist in the original language. This affects programmers when they refactor code (i.e., make changes that should result in equivalent behavior). Since programs interact after compilation to a common target, programmers have to understand details of linking and target-level interaction when reasoning about correctly refactoring source components. Unfortunately, there are no software toolchains available today that support single-language reasoning when components are used in a multi-language system. This project will develop principled software toolchains for building multi-language software. The project’s novelties include (1) designing language extensions that allow programmers to specify how they wish to interoperate (or link) with conceptual features absent from their language through a mechanism called linking types, and (2) developing compilers that formally guarantee that any reasoning the programmer does at source level is justified after compilation to the target. The project has the potential for tremendous impact on the software development landscape as it will allow programmers to use a language close to their problem domain and provide them with software toolchains that make it easy to compose components written in different languages into a multi-language software system.
The project will evaluate the idea of linking types by extending ML with linking types for interaction with Rust, a language with first-class control, and a normalizing language, and developing type preserving compilers to a common typed LLVM-like target language. The project will design a rich dependently typed LLVM-like target language that can encapsulate effects from different source languages to support fully abstract compilation from these languages. The project will also investigate reporting of cross-language type errors to aid programmers when composing components written in different languages.",Amal Ahmed,Amal Ahmed
https://www.khoury.northeastern.edu/research_projects/personal-virtual-networks/,"The Personal Virtual Network describes a new networking abstraction which provides each device with its own virtual network that a user can configure and control. PVN will allow devices to establish trusted network configurations inside the providers, define policies for their network traffic and even deploy software that interposes on the traffic.",David Choffnes,David Choffnes
https://www.khoury.northeastern.edu/research_projects/personal-networks-of-football-players-association-with-functional-cardiac-and-cognitive-outcomes/,"Retired NFL football players experience changes to their social life due to transitions away from a team environment, change of leisure activities, and need to re-define relationships with family and friends. The resulting personal networks affect physical health and the aging process. This targeted study aims to characterize the personal networks of former football players using a web-based survey, and look for links with cognitive, cardiac, and functional outcomes.",Albert-László Barabási,Albert-László Barabási
https://www.khoury.northeastern.edu/research_projects/orca-talk/,"We design and implement a system for acoustically interacting with cetaceans in the wild in which acoustic signals flow in both directions simultaneously (full-duplex), featuring digital echo-suppression. We tested the system in a pilot experiment in Arctic Norway, where killer whales and humpback whales cruise the waters. The full-duplex system allowed us to vocally interact with the underwater acoustic scene by being able to listen while producing sounds.",Rebecca Kleinberger,Jorg Rychen
https://www.khoury.northeastern.edu/research_projects/iii-small-optimal-allocation-of-crowdsourced-resources-for-information-retrieval-evaluation/,"Evaluating the performance of information retrieval systems, such as search engines, is critical to their effective development. Current “gold standard” performance evaluation methodologies generally rely on the use of expert assessors to judge the quality of documents or web pages retrieved by search engines, at great cost in time and expense. The advent of “crowd sourcing,” such as available through Amazon’s Mechanical Turk service, holds out the promise that these performance evaluations can be performed more rapidly and at far less cost through the use of many (though generally less skilled) “crowd workers”; however, the quality of the resulting performance evaluations generally suffer greatly. The thesis of this project is that one can obtain the best of both worlds — performance evaluations with the quality of experts but at the cost of crowd workers — by optimally leveraging both experts and crowd workers in asking the “right” assessor the “right” question at the “right” time. For example, one might ask inexpensive crowd workers what are likely to be “easy” questions while reserving what are likely to be “hard” questions for the expensive experts. While the project focuses on the performance evaluation of search engines as its use case, the techniques developed will be more broadly applicable to many domains where one wishes to efficiently and effectively harness experts and crowd workers with disparate levels of cost and expertise.",Javed Aslam,Javed Aslam
https://www.khoury.northeastern.edu/research_projects/observatory-for-online-human-and-platform-behavior/,"The Observatory for Online Human and Platform Behavior aims to construct a research infrastructure that securely and ethically collects data on the online behavior of a large sample of volunteers and the algorithmically driven decisions of major Internet platforms. This data will enable a wide range of research on the Internet, including the state of the information ecosystem, damaging online behavior, and various aspects of the online world. The infrastructure will provide high-quality data on human and platform behavior at a scale and granularity that will allow transformational investigation of the online world.",David Lazer,David Lazer
https://www.khoury.northeastern.edu/research_projects/af-small-network-algorithms-under-adversarial-and-stochastic-uncertainty/,"Modern information networks composed of heterogeneous nodes and links, whose capacities and capabilities change unexpectedly due to mobility, failures, maintenance, and adversarial attacks.  This project studies the design of highly robust networked systems that are resilient to extreme failures and rapid dynamics, and provide optimal performance under a wide spectrum of scenarios with varying levels of predictability.
The focus of this project will be on two problem domains, which together address adversarial network dynamics and stochastic network failures.  The first component is a comprehensive theory of information spreading in dynamic networks.  The PI will develop an algorithmic toolkit for dynamic networks, including local gossip-style protocols, network coding, random walks, and other diffusion processes.  The second component of the project concerns failure-aware network algorithms that provide high availability in the presence of unexpected and correlated failures.  The PI will study failure-aware placement of critical resources, and develop flow and cut algorithms under stochastic failures using techniques from chance-constrained optimization.  Algorithms tolerant to adversarial and stochastic uncertainty will play a critical role in large-scale heterogeneous information networks of the future.",Rajmohan Rajaraman,Rajmohan Rajaraman
https://www.khoury.northeastern.edu/research_projects/national-deep-inference-fabric-ndif/,"The National Deep Inference Fabric (NDIF) project will develop a new kind of scientific computational infrastructure that will allow researchers to design scientific experiments by writing code that inspects and modifies the calculations deep within a network while it’s making predictions or conducting conversations. In other words, it will allow scientists to study how a network performs “inference”: how it processes inputs to yield outputs, and how its detailed internal computations lead to its predictions.",David Bau,David Bau
https://www.khoury.northeastern.edu/research_projects/narrative-based-training-simulations-using-theory-of-mind/,"This research explores developing procedural narrative systems using crowd-sourcing methods. The aim is to create a framework for simulation-based training that supports learner exploration and replay and exercises theory of mind skills to deliver the full promise of social skills training. The research begins with a paradigm shift that re-conceptualizes social skills simulation as a learner rehearsing a role instead of performing a role. This shift will exploit Stanislavsky’s Active Analysis (AA), a performance rehearsal technique that explicitly exercises Theory of Mind skills. Further, AA’s decomposition into short rehearsal scenes can break the combinatorial explosion over long narrative arcs that exacerbates content creation for social training systems. The research will then explore using behavior fitting and machine learning techniques on crowd-sourced data as way to semi-automate the development of multi-agent simulations for social training. The research will assess quantitatively and qualitatively the ability of this approach to (a) provide experiences that support exploration and foster ToM use and (b) support acquiring crowd-sourced data that can be used to craft those experiences using automatic methods.",Stacy C. Marsella,Magy Seif El-Nasr
https://www.khoury.northeastern.edu/research_projects/multi-functional-optical-meta-systems-enabled-by-deep-learning-aided-inverse-design/,"Artificial intelligence, particularly deep learning, has revolutionized academia and industry. This project aims to develop a generative and versatile design approach based on deep learning to create multi-functional photonic systems. Deep learning can unveil complex relationships between photonic structures and their properties, enabling the accelerated design of devices with distinct functionalities in response to wavelength, polarization, and other parameters. These multi-functional systems have applications in optical imaging, holographic displays, biomedical sensing, and consumer photonics. The project also includes outreach activities to educate students in grades 7-12 and provides graduate and undergraduate students with hands-on experience in photonics, deep learning, and advanced manufacturing.",Yongmin Liu,Yun Raymond Fu
https://www.khoury.northeastern.edu/research_projects/multi-disciplinary-preparation-of-next-generation-information-assurance-practitioners/,"Northeastern University, designated as a Center of Academic Excellence in Information Assurance Education and Research, has produced twenty SFS students over the past three years, all of whom were placed in positions within the Federal Government and Federally Funded Research and Development Centers. The program's unique diversity includes students from backgrounds ranging from political science and criminal justice to computer science and engineering. Northeastern University is well-positioned to attract and educate strong students in cybersecurity through its nationally-recognized Cooperative Education program. The SFS program at Northeastern successfully recruits a diverse group of underrepresented students and is committed to sustaining this level of diversity in future recruiting. Northeastern University also reaches out to the broader community by leading Capture-the-Flag and Collegiate Cyber Defense competitions, and by actively participating in the New England Advanced Cyber Security Center, an organization composed of academia, industry, and government entities.",,David Kaeli
https://www.khoury.northeastern.edu/research_projects/msstats-and-cardinal-next-generation-statistical-mass-spectrometry-in-r/,"MSstats is a family of open-source R/Bioconductor packages for statistical relative quantification of peptides and proteins in mass spectrometry-based proteomics. MSstats takes as input a list of identified and quantified spectral features and supports arbitrary complex designs (factorial experiments, paired designs, time course), data acquired with shotgun DDA, data independent DIA/SWATH, PRM or targeted SRM workflows, and label-free or label-based (e.g., TMT labeling) workflows.

Cardinal is a family of open source R/Bioconductor packages for statistical analysis of mass spectrometry-based imaging (MSI) experiments of biological samples. Cardinal supports 2- and 3-dimensional MSI experiments with multiple tissues and conditions, and complex designs, as well as matrix-assisted laser desorption/ionization and desorption electrospray ionization-based workflows.",Olga Vitek,Kylie Ariel Bemis
https://www.khoury.northeastern.edu/research_projects/mobots/,"Robust activity recognition algorithms depend on how well their training datasets have been prepared. An important part of preparing this training data set is to have high-quality annotations/labels on the entire dataset. However, if the dataset gets bigger and bigger, adding annotations to it becomes even more cumbersome for the research team. Often, these tasks are done manually on small datasets by researchers. In order to solve this computational problem, we have designed “Mobots” – a human-computation (i.e. crowdsourcing) game to annotate large accelerometer datasets (e.g., NHANES and UK BioBank datasets). In Mobots, players are shown snippets of accelerometer data that they match with a lab-based ground truth data (as shown below). This way, we can gather annotations on a very large dataset with the quality of lab-based ground truth.",Stephen Intille,Seth Cooper
https://www.khoury.northeastern.edu/research_projects/mobilyzer/,"Despite over a decade of Internet access from smartphones, we still have little understanding of the network performance we receive. A number of small testbeds and user studies have enabled progress in the face of these challenges, but with limited scope, duration, coverage and generality. This previous work suffers from three key limitations that hamper their success.
First, these individual solutions do not scale: each individual app or measurement platform is inherently limited to the population of participating users running a single piece of software.
Second, each solution is inconsistent and inflexible in the set of network measurements it supports and the contextual information describing the experimental environment, making it difficult to ensure scientific rigor and to merge disparate datasets.
Third, these solutions are uncoordinated in how they conduct network measurements: multiple apps can wastefully measure the same property independently or, worse, interfere with each other by running measurements at the same time from the same device.
Mobilyzer addresses these issues by providing a scalable, efficient and controllable open platform for network measurement from mobile devices. Mobilyzer provides the following components:
Mobile measurement library for apps. An app-based deployment model is uniquely capable of capturing the detailed view of mobile systems described above. Our Mobilyzer library provides standard measurement tools for users, researchers and developers, and it manages data collection by reporting to cloud-based servers.
Measurement manager. Mobilyzer allows researchers to conduct mobile network experiments using a collection of mobile devices running apps. To support a wide range of existing and future experiments, the measurement manager can assign programmable collections of measurements to devices in a way that optimizes for efficient use of the available, limited resources. In addition to scheduling measurements, this system coordinates across multiple devices to ensure that measurements do not overwhelm any particular device, network or host being probed.
Data collection, analysis and archival. We use a cloud-based system to collect, analyze, anonymize and publish data reported from mobile devices. This approach simplifies data management and sharing, provides a centralized repository for tools that analyze the data and facilitates access to a collection of hosts with sufficient capacity to perform the analysis in situ.
Mobilyzer is a collaboration between Morley Mao’s group at the University of Michigan and David Choffnes’ group at Northeastern University. For more information, please visit the project page.","Z. Morley Mao, David Choffnes",David Choffnes
https://www.khoury.northeastern.edu/research_projects/mixwild/,"Mix-WILD (“Mixed model analysis With Intensive Longitudinal Data”) is a desktop application for multilevel modeling of behavior using EMA data. It provides a graphical user interface to manipulate missing value codes, configure model parameters, and test random intercepts and slopes as predictors, mediators, and moderators of outcome variables in intensive longitudinal data. Mix-WILD allows behavioral researchers to extend the stage 1 regressor model with random slopes, feed random slopes into stage 2 models, and save output files in desired formats.",Donald Hedeker,Donald Hedeker
https://www.khoury.northeastern.edu/research_projects/microinteraction-ecological-momentary-assessment/,"Ecological momentary assessment (EMA) is a data collection methodology where a user's smartphone prompts them with multiple-choice questions related to a research construct of interest several times a day. EMA is used to measure behaviors such as mood, eating habits, and current physical activity. However, EMA often induces high study burden on the participants resulting in lower compliance/response rates. Low response rates affect the measurement of behavior, thereby affecting the quality of behavioral data.

μEMA (micro-EMA), or microinteractions-based ecological momentary assessment, is an alternative approach to EMA. In μEMA, all the prompts are single questions with Yes/No kind of answers – responding to each of these questions is a single-tap quick glanceable “microinteraction” (like checking the time on a wristwatch), taking hardly ~ 2s. μEMA leverages the quick access time and reliable tactile vibrations on the smartwatches to deliver short self-report surveys at a high temporal density (like a sensor).",Stephen Intille,Aditya Ponnada
https://www.khoury.northeastern.edu/research_projects/measuring-and-improving-the-management-of-todays-pki/,"The Public Key Infrastructure (PKI), along with the Secure Sockets Layer (SSL) and Transport Layer Security (TLS) protocols, are responsible for securing Internet transactions such as banking, email, and e-commerce; they provide users with the ability to verify with whom they are communicating online, and enable encryption of those communications. While the use of the PKI is mostly automated, there is a surprising amount of human intervention in management tasks that are crucial to its proper operation. As a result, there have been numerous instances where mismanagement of the PKI has harmed the security of end users. This project is developing techniques to better understand and improve the management of the PKI, helping to better secure the Internet.

This project has four research foci, each examining the management challenges faced by different players in the PKI: Content Distribution Network (CDN) administrators, Certificate Authorities (CAs), end-users, and non-Web protocols. First, the project is conducting measurements to better understand the frequency of sharing private keys between sites and their CDNs, and to improve the security of this practice. Second, the project is developing new incentives for CAs to ensure information about their revoked certificates reach end users. Third, the project is aiming to better understand how the PKI will evolve as the Internet of Things (IoT) grows and the PKI is forced to quickly scale up. Fourth, the project will expand existing measurement approaches to understand the difficulties of PKI management in non-Web protocols (e.g., IMAPS), which have traditionally been less-well maintained.",Alan Mislove,David Choffnes
https://www.khoury.northeastern.edu/research_projects/machine-learning-approaches-towards-risk-assessment-and-prediction-of-adverse-pregnancy-outcomes/,"The research aims to comprehend the interplay between molecular, genetic, and clinical factors linked to adverse pregnancy outcomes (APOs), develop techniques for accurately assessing APO risk early on, and create methods for gathering additional clinical data during routine treatment of at-risk subjects. The team will use advanced machine learning and integrate clinical, genetic, and molecular data to achieve these objectives. Their strategies hold the potential to advance precision medicine in women's pregnancy and postpartum care. The project will primarily use data from the national ""Nulliparous Pregnancy Outcomes Study: monitoring mothers-to-be"" (nuMoM2b study). The 10,038 nulliparous women in the cohort will be used to complete three objectives: to integrate genetic, clinical, and molecular features to thoroughly understand APOs; to create advanced risk prediction machine learning models; and to actively gather data for risk assessment and model development. The researchers anticipate that this study will make substantial contributions to understanding APOs' molecular and clinical facets and assessing APO risk, ultimately improving maternal health through a close partnership between computational and clinical scientists.",David M. Haas,Predrag Radijovac
https://www.khoury.northeastern.edu/research_projects/ncs-fo-leveraging-deep-probabilistic-models-to-understand-the-neural-bases-of-subjective-experience/,Different individuals experience events differently due to their unique histories and psychological dispositions. This variation is known as subjective experience. It remains unclear how to model the neural bases of subjective experience. This work will develop new statistical modeling techniques for individual variation and apply them to a neuroimaging study of the fear experience. This will provide insights into the neural bases of fear and a framework to compare different hypotheses about the neural bases of individual differences.,Ajay Satpute,Jennifer Dy
https://www.khoury.northeastern.edu/research_projects/lava/,"Evaluating and improving bug-finding tools is currently difficult due to a shortage of ground truth corpora (i.e., software that has known bugs with triggering inputs). LAVA attempts to solve this problem by automatically injecting bugs into software. Every LAVA bug is accompanied by an input that triggers it whereas normal inputs are extremely unlikely to do so. These vulnerabilities are synthetic but, we argue, still realistic, in the sense that they are embedded deep within programs and are triggered by real inputs. Our work forms the basis of an approach for generating large ground-truth vulnerability corpora on demand, enabling rigorous tool evaluation and providing a high-quality target for tool developers.",Brendan Dolan-Gavitt,William Robertson
https://www.khoury.northeastern.edu/research_projects/language-and-runtime-support-for-large-scale-data-analytics/,"As the cost of computing and communication resources has plummeted, applications have become data-centric with data products growing explosively in both number and size. Although accessing such data using the compute power necessary for its analysis and processing is cheap and readily available via cloud computing (intuitive, utility-style access to vast resource pools), doing so currently requires significant expertise, experience, and time (for customization, configuration, deployment, etc).
This work investigates new models of cloud computing that combine domain-targeted languages with scalable data processing, sharing, and management abstractions within a distributed service platform that “scales” programmer productivity. To enable this, this research explores new programming language, runtime, and distributed systems techniques and technologies that integrate the R programming language environment with open source cloud platform-as-a-service (PaaS) in ways that simplify processing massive datasets, sharing datasets across applications and users, and tracking and enforcing data provenance. The PIs’ plans for research, outreach, integrated curricula, and open source release of research artifacts have the potential for making cloud computing more accessible to a much wider range of users: The data analytics community who use the R statistical analysis environment to apply their techniques and algorithms to important problems in areas such as biology, chemistry, physics, political science and finance, by enabling them to use cloud resources transparently for their analyses, and to share their scientific data/results in a way that enables others to reproduce and verify them.",Jan Vitek,Jan Vitek
https://www.khoury.northeastern.edu/research_projects/crisp-type-2-interdependent-network-based-quantification-of-infrastructure-resilience-inquire/,"Critical infrastructure systems are increasingly reliant on one another for their efficient operation. This research will develop a quantitative, predictive theory of network resilience that takes into account the interactions between built infrastructure networks, and the humans and neighborhoods that use them. This framework has the potential to guide city officials, utility operators, and public agencies in developing new strategies for infrastructure management and urban planning. More generally, these efforts will untangle the roles of network structure and network dynamics that enable interdependent systems to withstand, recover from, and adapt to perturbations. This research will be of interest to a variety of other fields, from ecology to cellular biology.",Albert-László Barabási,Edmund Yeh
https://www.khoury.northeastern.edu/research_projects/interactive-synthesis-and-repair-for-robot-programs/,"Over the past few years, robots have started to be deployed in unstructured human environments. There are hundreds of robots deployed in hospitals, hotels, and supermarkets. Unfortunately, the software that runs on robots is programmed using low-level abstractions and languages, and is hard to transfer across robots and environments. In addition robotic software requires complex control logic to ensure that robots are safe and well-behaved in all situations. Thus, robot software is extraordinarily hard to write and maintain. This research project develops tools and techniques to make robot software safer, easier to write, and easier to maintain.

The intellectual merits of the project are the development of (1) techniques for fixing bugs in robot software, based on advances to automatic program repair and program synthesis; (2) abstractions for writing robot software that can automatically handle certain kinds of failures, based on new programming-language design; (3) methods for checking the correctness of robot software, based on new program-verification techniques. The project’s broader significance and importance are that it helps make robot software easier to write and maintain, and cheaper, safer, and more reliable. The project encourages further research at the intersection of programming languages and robotics by publishing research results and releasing open-source software. The project also involves high-school outreach workshops to broaden participation in computing.",Arjun Guha,Arjun Guha
https://www.khoury.northeastern.edu/research_projects/insure-4-0-advancing-research-education-to-research-collaborative/,"We will expand the current INSuRE program to:

* Increase the availability of the INSuRE program to the general CAE-R and CAE-CD communities by recruiting researchers from various government agencies.
* Help to facilitate research collaborations between academic institutions and government agencies by offering a year-long INSURE-Collaborative program, including summer internships.",Agnes H. Chan,Agnes H. Chan
https://www.khoury.northeastern.edu/research_projects/human-centered-a-i-for-federal-governments/,We are designing human-centered artificial intelligence that governments can implement to provide better services and relationships to their citizens.,Saiph Savage,Saiph Savage
https://www.khoury.northeastern.edu/research_projects/ground-truth-analysis-and-modeling-of-entire-individual-c-elegans-nervous-system/,"The Boyden, Flavell, Barabasi, and Tegmark groups propose to examine how the cells within the brain of a simple animal work together to generate the computations that underlie behavior. The teams will study C. elegans, a small worm with just a few hundred neurons, yet capable of learning and adaptive behavior in complex real-world environments. The teams will apply new technologies to measure and control the neural circuits of C. elegans, in order to investigate how they works. The project will also generate new mathematical tools to analyze the data that is collected – tools that could help analyze how the brain goes wrong in disorders such as Parkinson’s or Alzheimer’s. Using the data acquired, the project will reveal how brain circuits compute, which could inspire new algorithms for machine learning and computer information processing. These in turn could have broad impact on economic prosperity as well as in advancing human quality of life.",Ed Boyden,Albert-László Barabási
https://www.khoury.northeastern.edu/research_projects/shf-large-gradual-typing-across-the-spectrum/,"This project aims to address the challenges of maintaining software systems written in scripting languages. Despite their ease of prototyping, scripting languages lack sound types, making it difficult to understand and modify code. The researchers propose to develop gradual typing systems that allow programmers to incrementally add type annotations to existing code, preserving the advantages of scripting frameworks while enhancing maintainability. They will compare and evaluate existing gradual typing approaches, develop an evaluation framework, and explore new scripting languages that incorporate these insights. This research is expected to improve the maintainability of scripting language-based software, assist programmers in fixing bugs and improving performance, and advance the understanding of gradual typing.",Matthias Felleisen,Jan Vitek
https://www.khoury.northeastern.edu/research_projects/geopolitical-routing/,"Internet users seeking privacy and anonymity, such as whistleblowers and dissidents, require secure communication methods. Existing anonymity services like Tor offer protection, but are vulnerable to traffic analysis. This research aims to design, implement, and deploy anonymous communication networks that prevent eavesdropping by even powerful adversaries like state actors. The project proposes anonymity network designs that leverage a combination of trusted infrastructure and untrusted P2P nodes, incorporate zones for jurisdictional trust selection, and optimize performance based on communication workload observations. The goal is to develop networks that provide anonymity guarantees for file sharing, web traffic, and real-time communication in both fixed-line and mobile environments, even under strong adversarial scenarios. This project is a collaboration with the Boston University Security Group and is funded by the NSF.",David Choffnes,Sharon Goldberg
https://www.khoury.northeastern.edu/research_projects/game-theoretic-updates-for-network-and-cloud-functions/,"Updates are common in cloud-computing networks and must be efficient and transparent since they can take seconds or minutes to complete, and cloud-computing networks must be ""always on."" This project investigates key shortcomings of prior work on update abstractions that limit their utility and widespread use in practice, and develops a new abstraction that addresses the heterogeneity, scale, and dynamic nature of real-world updates. The project's novelties are (1) a new game-theoretic foundation for network updates, (2) algorithms for synthesizing update controllers that are robust to failures and changing conditions during the update, (3) algorithms for explaining update failures, (4) a language design that allows synthesized controllers to be safely modified, and (5) implementations and evaluations of these mechanisms for virtual network functions and serverless-computing platforms. The project provides network operators with tools that make updates to networked systems easier, safer, and more reliable, and develops a framework that makes datacenter computing more reliable and secure.",Arjun Guha,Arjun Guha
